FID,Long_deg_NAD83,Lat_deg_NAD83,Location,State,Deposit_type,Map_unit,Ref_source,Comments
159,-118.873419,39.876224,Desert Queen,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth - not field-validated
160,-118.873881,39.875577,Desert Queen,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth - not field-validated
161,-118.870036,39.877378,Desert Queen,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth - not field-validated
162,-118.872456,39.886798,Desert Queen,NV,Tufa,Qtm,"Ayling, 2022",Located using Google Earth - not field-validated
163,-118.8732033,39.81448897,Desert Queen,NV,Tufa,Qtm,Faulds_2020,Linear trend (N7W) of small tufa mounds up to 1.5 m high
164,-118.8292445,39.81816181,Desert Queen,NV,Tufa,Qtm,"Mauldin, 2022 (migrated from NBMG database)", 
165,-118.8753876,39.82115834,Desert Queen,NV,Tufa,Qtm,"Mauldin, 2022 (migrated from NBMG database)", 
166,-118.8729826,39.81522665,Desert Queen,NV,Tufa,Qtm,"Mauldin, 2022 (migrated from NBMG database)", 
167,-115.3045164,41.26131251,Devil's Punch Bowl (Deeth),NV,Travertine,Qt,NBMG_2010, 
168,-116.6663153,39.03074423,Diana's Punch Bowl,NV,Travertine,Qt,Fiero_1968;Stewart and Carlson_1974, 
169,-117.9171045,39.95528588,Dixie Valley,NV,Sinter,Qssi,Yap and Ayling_2018,Sinter layers in alluvial sediments in canyon wall
170,-117.9214007,39.95284491,Dixie Valley Geyserite,NV,Sinter,Qssi,Coolbaugh_2018; Yap and Ayling_2018,Sinter terrace outcropping along range-front. Geyserite present in several places.
171,-117.6032222,40.03320256,Dixie Valley Lower Ranch Hot Spring,NV,Travertine,Qt,Blackwell et al_2006; Reed et al_1983; Goff et al_2002, 
172,-118.0871146,39.79314205,Dixie Valley near Dixie Meadows Hot Springs,NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Hot ground with advanced argillic alteration, alunite, kaolinite"
173,-118.0875952,39.79326066,Dixie Valley near Dixie Meadows Hot Springs,NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Hot ground with advanced argillic alteration, alunite, kaolinite"
174,-117.9169263,39.95429315,Dixie Valley south fumaroles,NV,Explosion craters, ,"Coolbaugh, 2022-Mar-26, Faulds_2020, originally identified/ mapped by Coolbaugh in 2005", 
175,-117.9151253,39.95556964,Dixie Valley south fumaroles,NV,Explosion craters, ,"Coolbaugh, 2022-Mar-26, Faulds_2020, originally identified/ mapped by Coolbaugh in 2005", 
176,-117.8542451,39.99483596,"Dixie Valley, Senator fumaroles",NV,Alteration, ,"Coolbaugh, 2022-Mar-26","Active steam zone, advanced argillic alteration"
177,-117.8545862,39.99499284,"Dixie Valley, Senator fumaroles",NV,Sulfur, ,"Coolbaugh, 2022-Mar-26",Actively forming sulfur crystals
178,-117.9179351,39.95451286,"Dixie Valley, south fumaroles area",NV,Alteration, ,"Coolbaugh, 2022-Mar-26",Active fumaroles with argillic alteration
179,-117.916464,39.95561829,"Dixie Valley, south fumaroles area",NV,Alteration, ,"Coolbaugh, 2022-Mar-26",Active fumaroles with argillic alteration
180,-119.0264901,41.05093332,Double Hot Springs (Black Rock Desert),NV,Travertine,Qt,Hose and Taylor_1974, 
181,-119.0264901,41.05093332,Double Hot Springs (Black Rock Desert),NV,Sinter,Qssi,Hose and Taylor_1974, 
182,-121.402831,40.442151,Drakes Hot Springs,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring,1915","Location not field validated. Plumas, Sec. 22, T. 30 N., R. 5 E., Unknown, Travertine occurs at several places on bank above Hot Springs Creek"
183,-115.7010579,38.94932853,Duckwater Springs,NV,Travertine,Qt,"White, D.E, USGS, pers.comm 1968",Very large travertine apron; multiple discharge areas. BAyling visited in June 2020
184,-117.419003,44.537384,Durkee Travertine,OR,Travertine,Qt,"Brooks, 1989, Limestone deposits in Oregon","Sec. 11, T. 12 S., R. 43 E., The deposit is centered half mile south of the Ash Grove Cement West, Inc., cement plant and about 1,000 ft west of Interstate 1-84 and Union Pacific Railroad. Durkee I5-minute quadrangle. Deposition occurred in the conduit a"
185,-117.419196,44.537402,Durkee Travertine,OR,Tufa,Qtm,"Brooks, 1989, Limestone deposits in Oregon","Sec. 11, T. 12 S., R. 43 E., The deposit is centered half mile south of the Ash Grove Cement West, Inc., cement plant and about 1,000 ft west of Interstate 1-84 and Union Pacific Railroad. Durkee I5-minute quadrangle. Deposition occurred in the conduit a"
186,-118.5663801,41.56686348,Dyke Hot Spring,NV,Travertine,Qt,Mariner et al_1974, 
187,-111.8371242,42.82531892,Eightmile Creek,ID,Travertine,Fluvial and lake sediment (Quaternary),"Feth and Barnes, 1979
Mansfield, 1929",Location is not specific. Digitized apparent travertine ? terrace in T7S R39E Sec12 and T7S R40E Sec 7 associated with Eighteenmile Creek based on Google Earth imagery and topographic map review. Area mapped as fluvial and lake sediment (Lewis and others
188,-111.9247515,41.23548401,El Monte Hot Springs,UT,Travertine,Qst,"Feth, J.H., and Barnes, I., 1979, Spring-deposited travertine in eleven western states: U.S. Geological Survey Water-Resources Investigations Open-File Report 79-35.",Travertine cemented alluvium and aprons associated with active hot spring
189,-119.5732113,39.20543006,Eldorado Canyon travertine deposit,NV,Travertine,Qt,Garside and Schilling_1979, 
190,-119.6316805,40.30161818,Emerson Pass,NV,Calcite-qtz veins, ,Faulds_2020, 
